Country,Type,Total Population (Thousands),Total Population,Male Population (Thousands),Male Population,Female Population (Thousands),Female Population,"Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years)
Syrian Arab Republic,Western Asia,21324,21324000,10681,10681000,10643,10643000,71.6,69.6,73.7
Tajikistan,Central Asia,9750,9750000,4906,4906000,4844,4844000,78.7,74.5,83
Thailand,South-Eastern Asia,71601,71601000,34794,34794000,36807,36807000,67.7,66.1,69.5
Timor-Leste,South-Eastern Asia,1321,1321000,674,674000,647,647000,61.6,60.8,62.4
Togo,Western Africa,8645,8645000,4345,4345000,4300,4300000,75.2,74.4,75.9
Tokelau,Polynesia,2,2000,1,1000,1,1000,71,68.4,73.7
Tonga,Polynesia,106,106000,52,52000,54,54000,73,69.7,76.4
Trinidad and Tobago,Caribbean,1526,1526000,753,753000,773,773000,73.8,70.7,77.1
Tunisia,Northern Africa,12263,12263000,6057,6057000,6206,6206000,76,73,79.1
Türkiye,Western Asia,84775,84775000,42490,42490000,42286,42286000,69.3,65.9,72.7
Turkmenistan,Central Asia,6342,6342000,3142,3142000,3200,3200000,74.6,71.8,77.7
Turks and Caicos Islands,Caribbean,45,45000,23,23000,22,22000,64.5,60.8,69.1
Tuvalu,Polynesia,11,11000,6,6000,5,5000,62.7,60.4,64.9
Uganda,Eastern Africa,45854,45854000,22701,22701000,23153,23153000,71.6,66.5,76.7
Ukraine,Eastern Europe,43531,43531000,20147,20147000,23384,23384000,78.7,77.2,80.9
United Arab Emirates,Western Asia,9365,9365000,6512,6512000,2853,2853000,80.7,78.7,82.8
United Kingdom,Northern Europe,67281,67281000,33239,33239000,34042,34042000,66.2,64.2,68.3
United Republic of Tanzania,Eastern Africa,63588,63588000,31418,31418000,32171,32171000,77.2,74.3,80.2
United States of America,North America,336998,336998000,166942,166942000,170056,170056000,74.7,69.5,80.6
United States Virgin Islands,Caribbean,100,100000,47,47000,53,53000,75.4,71.7,79.3
Uruguay,South America,3426,3426000,1659,1659000,1767,1767000,70.9,68.3,73.4
Uzbekistan,Central Asia,34081,34081000,17052,17052000,17030,17030000,70.4,68.4,72.9
Vanuatu,Australia/New Zealand,319,319000,161,161000,159,159000,70.6,66.3,75.2
Venezuela (Bolivarian Republic of),South America,28200,28200000,13957,13957000,14243,14243000,73.6,69.1,78.2
Viet Nam,South-Eastern Asia,97468,97468000,48136,48136000,49332,49332000,78.4,77.1,79.9
Wallis and Futuna Islands,Polynesia,12,12000,6,6000,6,6000,70.8,69.1,72.9
Western Sahara,Northern Africa,566,566000,312,312000,253,253000,63.8,60.6,67.1
Yemen,Western Asia,32982,32982000,16668,16668000,16313,16313000,61.2,58.5,63.9
Zambia,Eastern Africa,19473,19473000,9609,9609000,9864,9864000,59.3,56.2,62
Zimbabwe,Eastern Africa,15994,15994000,7544,7544000,8450,8450000,,,
